
Name	Type	Quantity	Initialize on reset	Copy current value to initial value at save	Keep initial value when loading program	Recipe Target	Comment	R0009
#Main_Mode	スカラ		1	0	0	0	0:Calibration　1:RegMasterPos　2:Alignment	2
#Calib_Mode	スカラ		1	0	0	0	0:StageCalibration 1:CamCalibration	0
#Manual_Align	スカラ		1	0	0	0	1:ManualAlignMode	0
#Manual_Pos[0].X	位置配列	4	1	0	0	0	ManualAlignment用座標指定　要素：カメラ番号	800
#Manual_Pos[0].Y	位置配列	4	1	0	0	0		600
#Manual_Pos[1].X	位置配列	4	1	0	0	0		800
#Manual_Pos[1].Y	位置配列	4	1	0	0	0		600
#Manual_Pos[2].X	位置配列	4	1	0	0	0		800
#Manual_Pos[2].Y	位置配列	4	1	0	0	0		600
#Manual_Pos[3].X	位置配列	4	1	0	0	0		800
#Manual_Pos[3].Y	位置配列	4	1	0	0	0		600
#Manual_Cam_Disp	スカラ		1	0	0	0	ManualAlignment用座標指定のCam番号表示用	0
#Manual_Pos_Disp.X	位置		1	0	0	0	ManualAlignment用座標指定の初期値表示用	0
#Manual_Pos_Disp.Y	位置		1	0	0	0		0
#Manual_Cancel_flag	スカラ		1	0	0	0	ManualAlignmentキャンセルフラグ	0
#Manual_AvePos_Disp.X	位置		1	0	0	0	ManualAlignment用座標指定の現在値表示用	0
#Manual_AvePos_Disp.Y	位置		1	0	0	0		0
#Manual_size	スカラ		1	0	0	0	ManualAlignment用サイズ指定	0
#Manual_cam[0]	スカラ配列	4	1	0	0	0	ManualAlignment用Cam指定　要素：カメラ番号	0
#Manual_cam[1]	スカラ配列	4	1	0	0	0		0
#Manual_cam[2]	スカラ配列	4	1	0	0	0		0
#Manual_cam[3]	スカラ配列	4	1	0	0	0		0
#F_target	スカラ		1	0	0	0	0:Aside 1:Bside	0
#F_Live	スカラ		1	1	1	0	0:Trg更新　1:連続更新	1
#F_Prm_Mode	スカラ		1	0	0	0	撮像パラメータ反映用（Mode選択）	0
#F_Prm_Cam	スカラ		1	0	0	0	撮像パラメータ反映用（Cam選択）	0
#F_Auto	スカラ		1	0	0	0	座標指定方法　0:Auto　1:Manual	0
#Search_Result[0]	スカラ配列	4	1	0	0	0	0:OK 1:NG	0
#Search_Result[1]	スカラ配列	4	1	0	0	0		0
#Search_Result[2]	スカラ配列	4	1	0	0	0		0
#Search_Result[3]	スカラ配列	4	1	0	0	0		0
#CalibrationPos_pix[0].X	位置配列	4	1	0	0	0	キャリブレーション位置格納_Pix	0
